npsn,nama_sekolah,alamat,jumlah_guru,kepala_sekolah,telp_sekolah,latitude,longitude
69830966,TK ISLAM MUMA I,Jl. Pondok Jaya I No. 35,3,Nurjanah,021 7191922,,
69830967,TK DARUSSA`ADAH,Jl. Poncol Jaya No. 41,5,"Elly Hilaliah, S.Pd",021 5277301,,
69830972,TK AN NI'MAH,Jalan rawajati Timur I No.5,3,Marzukoh,021 7949237,,
69830991,TK INSAN MULIA CARE,Jl. Pengadegan Selatan No. 24,6,ATI KURNIATI,0812 18021902,,
69830995,TK AL ITTIHADIYYAH,Jl.Masjid An Nur No.6,8,"Sri Supyani, S.Pd",021 8318415,,
69830999,TK YASPORBI I,Jl. Rasamala Raya Komp. BI Pancoran,7,Mohamad Indra Perdana,021 8318953,,
69831001,TK AISYIYAH 20,Jl. Tebet Barat X E/1,2,"Maliha, S.Pd.I",021 8354936,,
69831002,TK BINA MULIA,Jl. Tebet Barat II E,2,YUNIAR,0878 87494125,,
69831005,TK KINDERFIELD,Jl. Prof. Dr. Soepomo No. 11 A,18,Frensisca Theodora Saimima,021 8303209,,
69831007,TK ISLAM TERPADU AL ITTIHAAD,Jl. Tebet Mas Indah I,13,"Syarifah, S.Pd.I",021 8354791,,
69831008,TK KUNTUM TERATAI,Jl. Kp. Melayu Kecil II No. 21,3,Dra. Herawati,021 8297111,,
69831011,TK AISYIYAH 4,Jl. Tebet Timur Raya No. 6,13,"Sudarmi, S.Pd.",021 8355441,,
69831012,TK YPU TIARA BUNDA,Jl. Tebet Barat Dalam VIII No. 51,5,Tri Rachmasari.Spd,021 8300562,,
69831014,TK PARKIT,Jl. Tebet Timur Dalam VI.E,6,Azizah,021 8315114,,
69831017,TK AISYIYAH BUSTANUL ATHFAL 95,Jl. Asem Baris Raya Gg. F Barat no. 59,,,,,
69831018,TK BUDI BAKTI,Jl. Tebet Timur Dalam III F no 15,2,"Sriyatin, S.Pd.I",021 8311795,,
69831026,TK TRISULA PERWARI 6,Jl. Bukit Duri Tanjakan Dalam 10/94,2,Nurmani,0812 94500074,,
69831028,TK AISYIYAH 5,Jl. Bukit Duri Tanjakan No. 10,2,Mulyati Suhasanah,0851 00601814,,
69831029,TK LARASATI,Jl. Rambutan No. 48,3,"Nurita, S.Pd.",0812 80302095,,
69831030,TK ISLAM AS SYAFI`IYAH 01,Jl. Manggis I No.24,4,Fauziah,021 8318980,,
69831034,TK ISLAM AN NIDAA,Jl. Swadaya II No. 25,3,Nurjanah,0817 6418576,-6.21442,106.845612
69831191,BKB PAUD KEMUNING 06,Jl.gedung Hijau Raya,,,,,
69831192,BKB PAUD BAYAM,Jl. H. Saikin,,,,,
69831194,BKB PAUD BUNCIS,Jl. Pondok Pinang VI,,,,,
69831195,BKB PAUD BUNGUR,Jl. Dharma Putra IX,,,,,
69831196,BKB PAUD TELADAN,Jl. Peninggaran Timur II,,,,,
69831198,BKB PAUD RAFLESIA,Jl. Ciledug Raya No. 120,,,,,
69831199,BKB PAUD NUSA INDAH,Jl. Kebon Mangga IV,,,,,
69831200,BKB PAUD MELATI 07 CIPULIR,Jl. Kebon Mangga I,,,,,
69831202,BKB PAUD DAHLIA,Jl. Almubarok I,,,,,
69831203,BKB PAUD ANANDA,Jl. Kemandoran 8A,,,,,
69831283,BKB PAUD EDELWEISS,Jl. Menteng atas selatan II No.13,5,Siti Maisaroh,,,
69831290,BKB PAUD AZZAHRA,Jl. Halimun Gg. Eddy I Ujung,,,,,
69832173,TK ISLAM TERPADU AL HUJJAH,Jl. Taman Kota,4,FARIDA,0812 95039015,,
69832178,TK TARSISIUS II,Jl. Kebon Jeruk Raya No. 19,6,"Y. Reni Widiastuti, S.Pd.","021 5307779, 021 5321157",,
69832195,TK DAMAI,Jl. Duri Selatan V / 29,5,CHRISTINA ENI SUNDARYATUN,021 63855240 Ext. 12,-6.159162,106.804764
