npsn,nama_sekolah,alamat,jumlah_guru,kepala_sekolah,telp_sekolah,latitude,longitude
20110680,TK K. HARAPAN MULIA,Jl. Pademangan . V Ujung Blok D,1,Linda Y Sanger R S Th,"021 6412761, 0821 22749846",,
20110682,TK K. NAZARET,Jl. Jembatan Dua Blok H/29,2,Ine Syahmine,021 6695869,,
20110683,TK KARTIKA SARI,Jl. Danau Indah 2A,4,SRI HARDINI,021 4347477,,
20110684,TK KARTIKA VIII 32,Jl. Lagoa Kanal,4,Rohani Daeng Puji A.md,021 43933537,,
20110685,TK KARYA KASIH,Jl. St. Paradis Blok L No. 7,3,Meyling(Etty),021 6404505,,
20110687,TK NEGERI SEMPER,Jl. Asr. Dinas Kebersihan,7,"Tuti Kuswarini, S.Pd",021 98292942,,
20110688,TK NEGERI SUNTER AGUNG,Jl. Agung Utara 5D Blok A19 No. 21,5,"Eny Susilaningsih, S.Pd.I",021 65302445,,
20110690,TK KASIH ANGELA,Jl. Ancol Selatan No. 45,5,Sri Sumijati,021 6411769,,
20110691,TK KASIH IMMANUEL,Jl. Kampung Sawah Blok B No.16,3,Erika Marpaung,021 4416946,,
20110692,TK KEBON BARU,Jl. Blok X Gg. IV No.25,5,Isminah. SPdI,021 4407177,,
20110693,TK KEJORA,Jl. Pelepah Indah I LB4/26,2,Lenny Andreani Santoso,021 4529967,,
20110694,TK KELAPA GADING HI,Jl. Komp. PTHII,3,,021 4526259,-6.17619,106.904488
20110695,TK KEMALA BHAYANGKARI 24,Jl. Arjuna VII ( Asrama Airud ),5,"Nani Winarti, S.Pd",021 4401832,-6.108336,106.928291
20110696,TK KEMALA BHAYANGKARI 3,Kesatriaan Asrama Polri Cilincing,3,Indrawati,021 51220279,,
20110697,TK KEMUNING,"Jl. Griya Manis,Komplek Griya Inti Sentosa",8,Nur Samsiyah,021 70976604,,
20110698,TK KENARI,Jl. Kenari No.5,3,Nondang Ritonga,"0812 84888308, 0812 8544886",,
20110699,TK KERTAPAWITAN,Jl. Imigrasi PALM No. 14D,4,Siti Salma,,,
20110701,TK KRISTEN BETHEL,Jl. Swasembada Timur XI no. 38,3,Agnes Jolanda Najoan,021 4308393,-6.122714,106.891975
20110702,TK KRISTEN DAMAI,Jl. Kelapa Dua No.7,3,Astri Jachroni,021 44833678,,
20110703,TK KRISTEN GENEZARET,Jl. Bandengan Utara 40D,4,"Elisabeth W, S.Pd.MM",021 6603469,,
20110704,TK KRISTEN IPEKA SUNTER,Jl. Agung Permai 15 Blok C,10,"Endah Kurnia Ningsih,S.Pd.",021 6450137,,
20110705,TK KRISTEN IPEKA PLUIT,Jl. Pluit Timur Utara Blok B Utara No.1,9,"Melissa Roseline, S.Pd.",021 6613575,,
20110706,TK KRISTEN PENABUR X,Jl. Layar Permai 6 Blok SD 2,25,Susanawati Junus,021 55967480,,
20110707,TK KRISTEN YUSUF,Jl. Arwana II No. 16 Jembatan Dua,5,DR. Jasmin Lantang,021 6693111,,
20110708,TK KUDA LAUT,Jl. Teluk Semangka A / II,2,"Lisna Megawati, SPd.I",021 44834049,,
20110709,TK KUNCUP HARAPAN YPSI,Jl. Budi Jaya No. 43,2,Ratnasari,021 43937708,,
20110710,TK KUNCUP MEKAR,Jl. Pluit Dalam Gg. HKSN No. 19,4,Andi Apriliana,021 6612094,,
20110711,TK KUNTUM KELUARGA MULIA,Jl. Kramat Jaya No. 1B,7,Sr.M. Evangelina.OSF,021 4351574,,
20110713,TK LKMD/K CILINCING,Jl. Cilincing Lama Rt 02 / 04,3,Desri Agustini,0812 96403068,,
20110714,TK LKMD/K KALIBARU,Jl. Kalibaru Barat IV Rt 03 / 12,3,Rusidayati. SPd I,,,
20110715,TK LOLLYPOP,Jl. Sunter Permai Raya No. 8,7,Christina,021 6516426,,
20110716,TK NEGERI PAPANGGO,Jl. Papanggo IIIA No. 53,7,"YULIAH PATMASARI,S.Pd",021 6522201,,
20110717,TK LAZUARDI,Jl. STM Walang Jaya No. 9,4,ANI ROSLINA,0878 08218844,,
20110718,TK MAHA PRAJNA,Jl. Cilincing Lama No 3,6,M.G. Erna Nugraheni S.Pd,021 4414543,,
20110719,TK MAHBA`UL HIKMAH,Jl. Tipar Cakung No. 2,4,Hj. Soraya Sri Mulyani S.pd.I,021 44830057,,
20110721,TK MARIA JOSEPH,Jl. Harpa Raya,14,"Sr. Maria Yoanna. KFS ( Atan, S.Pd )",021 98242090,,
20110723,TK MAWAR SARON,Jl. Kelapa Hibrida Timur,8,"Resa Margared, S.Sos.,M.Si",021 45843455 Ext. 115,,
20110725,TK MELATI,Jl. Ancol Selatan Rt. 09/07,5,MG. Sudarwati,0815 9744663,,
20110726,TK MERPATI,Jl. Mahoni No. 27,2,HAPPY YUHELMINA,021 43913884,,
20110727,TK METHODIST,Jl. Terusan Bandengan Utara No.91,7,"Vivien, S.Hum","021 6620212, 021 6620213, 021 6620214, 021 6620215",,
20110728,TK MUTIARA NUSANTARA,Jl. Taruna Jaya IV No. 34,2,Hj Erni Indrawati,021 44940067,,
20110729,TK MUTIARA NUSANTARA,Jl. Sunter Jaya II A No.9,2,Esti Proborini,021 6504242,,
20110730,TK NURFITRI,Jl. Skip II A NO.1,5,Nurhayati,021 6508417,,
20110732,TK NURUL BAHRI,Jl. Muara Angke,5,"Is Sukma Candrawati, S.Pd",0878 80012550,,
20110733,TK NURUL FALLAH,Jl. Wijaya Kusuma Kom. TNI AL Dewa Kembar,3,Khotimah,021 4403864,,
20110734,TK NURUL FIKRI,Jl. Bendungan Melayu,6,ENI BASNIDAR,021 4371880,,
20110735,TK NURUL ISLAM,Jl. Kelapa Dua Rt. 012/03,4,"Solihin, S.Ag.",021 44834584,,
20110736,TK NURUL JALAL,Jl. Warakas IV V 69 II No.70,4,Siti Rohanah,021 4351332,,
20110738,TK NUSANTARA,Jl. Mundu luar blok N No. 52,3,Asri Irawati,021 4351893,,
20110739,TK PGRI,Jl. kesatriaan,3,Hj. Erning Pujiwigati. S.Pd,0815 10739013,,
20110740,TK PADINDI,Jl. Papanggo II D No. 70,2,Nurdjanah Radjaloa,021 98254241,-6.127887,106.878777
20110741,TK PANTAI INDAH,Jl. Kalibaru Timur IV No. 23,3,Sri Gunawati,021 4412759,,
20110742,TK PELANGI,Jl. Warakas VII No.100,4,NOVITA BOGAR,021 4350130,,
20110743,TK PELANGI CILINCING,Jl. Kelapa Dua No. 38,2,Mawar Tambunan. S.Pd,021 4411208,,
20110744,TK PELANGI KASIH,"Jl. Pantai Indah Timur, Taman Grisenda Blok A1/28",37,Santy Darmadjie,021 5884351,-6.132221,106.758942
20110745,TK PELITA,Jl. R.E. Martadinata Gg. Pelita II,4,Amelia Sara Septin,0821 22749846,,
20110746,TK PELITA,Jl. Walang Permai No. 27,5,Dra. Hj. Mardiyah SA,021 4352595,,
20110747,TK PELITA HARAPAN,Jl. Cipeucang IV No. 28,5,Dewi Murni,021 43907221,,
20110748,TK PELITA JAYA,Jl. Kali Baru Timur VII,4,"Reni Endriza, S.Pd",021 44832832,,
20110750,TK PERMATA AL MAIDAH,Jl. Bendungan Melayu No. 70,4,"Dra. Hj. Murtiah, Ms.",021 43933976,,
20110751,TK PERMATA INDAH,Jl. Kamp Gusti Blok A No. 1,9,Narmi,021 6680811,-6.139432,106.778534
20110752,TK PERMATA INDONESIA,Jl. Perumahan Tugu Permai,14,"Hj W Hariyani, S.Pd",021 4374332,-6.127855,106.911942
20110754,TK PUSAKA ABADI,Jl. V No. 28 Teluk Gong Jak Ut,14,Yulica Bayuni Surya,021 6601644,,
20110756,TK RINI,Jl. Gg. III Blok R Kebon Baru No. 43,4,"Ayani,SPdi.",021 4403664,,
20110757,TK ROBIATUL ADAWIYAH,Jl. Sungai Tiram Rt. 001/06 No. 39,4,Ririn Lailatul Mubarrokah,021 44851658,,
20110758,TK ROUTH POUK K.G,Jl. Harpa III/ BB 20,4,Ameilia Marina,021 4515048,,
20110759,TK ST. BERNADETTA,Jl. Kelapa Puan Timur I/NBI/1,6,Rita Setiawati M.,021 4500330,,
20110760,TK ST. MONICA I,Jl. Gading Indah Utara I NHT/ 26,7,Erawaty Guntoro,021 4501534,,
20110761,TK SAINT ELIZABETH,Jl. Pademangan III Gg. 17/10,7,NILA NIRMALA SE,021 64715043,,
20110762,TK SANTA ANNA,Jl. Telaga Raga Rt:12/01 No:79,2,Purwati,021 6501472,-6.1318,106.863998
20110763,TK SANTA AURELIA,Jl. Janur Asri I Blok. QJ 11/27,9,Helly Rechawati,"021 4516272, 021 4503963",,
20110764,TK SANTA CICILIA,Jl. Pademangan II Gg. 21 No.23,12,Liu Jonnie Fex,021 64711883,,
20110765,TK SANTA CICILIA,Jl. Ancol Selatan II/ 17,8,"Elizabet Suzana, S.Pd.",021 65835375,,
20110766,TK SANTA MARIA I,Jl. Melati No. 1,4,Christina Superihati,021 43901624,,
20110767,TK SANTA MARIA II,Jl. Warakas IV Gg.7 No.55,4,Emiliana Srinurwaningsih,021 43900447,,
20110768,TK SANTA MONICA II,Jl. Kelapa Kopyor Barat V ci 1/1,6,Gabriel Budi Utami,021 4520419,,
20110769,TK SANTO LUKAS I,Jl. Pademangan II Gg. 7 No. 1,9,PURWANTI,021 6413095,,
20110770,TK SANTO LUKAS PENGINJIL,Jl. Ancol Selatan II/1,5,Natalya Idapuspa SPd,021 6507574,,
20110772,TK SEJAHTERA,Jl. Ampera Besar No: 24,4,"Hj. Eti Nurlaela, SPd.MM",021 49559001,,
20110773,TK SEJAHTERA,Jl. Walang Baru VI No. 19,1,"Jumrah, S.Pd.I",021 4358565,,
20110774,TK SEJAHTERA III,Komp.Walikota Jl. Cicak rawa III Blok H2 No.1,4,Hollies.SM,021 4417051,,
20110776,TK SINAR PENGHARAPAN UTAMA,Jl. Pemandangan II No. 9 C,5,"Sherly Luciana, S.Pd",021 6459464,,
20110778,TK ST. CAROLINE,Jl. Sunter Mas Barat No. 1,8,"GUNARSIH SIDARTA, S.Pd",021 6503962,-6.156699,106.871773
20110779,TK ST. NICHOLAS,Jl. Pantai Indah Utara Blok S No. 8 PIK,16,MUJIONO,021 55965755,,
20110780,TK STELLA MARIS,Jl. Lele Blok A 1 Teluk Gong,5,"M. Sulistiyani, S.Pd",021 6600920,,
20110781,TK STRADA SANTA CLARA,Jl. Bhayangkara No. 38,4,Anastasia Samsiyati,021 4357209,,
20110782,TK STRADA TERESIA,Jl. Duku Timur no. 3,3,AGNES SUHANDARI,021 4414536,,
20110783,TK SUNTER MULIA,Jl. H. Amsir No. 10,3,Sutriyah,0822 99430914,,
20110784,TK T. BUDHIDAYA,Jl. Bidara Raya No. 36,4,"Gunasundari, S.Pd., MM",021 6694736,-6.1312,106.770302
20110785,TK TAMAN NYIUR,Jl. Agung Barat VI KOM NEG,4,Sri Maryati,021 6518119,,
20110786,TK TAMAN PAWIYATAN,Jl. Pure Dalam Purna Jati No. 27,2,Tri Widhianingsih,021 98256234,,
20110787,TK TARAKANITA IV PLUIT,Jl. Taman Pluit Permai Barat No. 1,9,Th. Sarwi Tyas Utami,021 6613458,,
20110788,TK TIARA HARAPAN,Jl. Kopyor Raya BC2/03,3,Dra. Setiawati,021 4529251,,
20110790,TK TIRTA SARI,Jl. Warakas VI Gg. 18 No. 92,3,Sriyatun,021 4354837,,
20110791,TK TUGU BHAKTI,Jl. Raya Tugu No. 21,1,FERONIKHA SANDHIRA FURI,021 4419121,,
20110792,TK TUNAS,Jl. Ancol Selatan II No. 37,2,Ardaninggar,021 4368320,,
20110793,TK TUNAS BANGSA,Jl. Muara Angke No. 88,5,Murtiningsih Spd,0812 88627053,,
20110794,TK TUNAS BANGSA,Jl. Bisma 14 Blok C/6 Sunter,9,"Olivia Dian Apsari, ST.P.",021 6516288,,
20110795,TK TUNAS CEMPAKA,Jl. Y2 Kebon Baru No 12,4,"Sularni, S.Pd",021 4403254,,
20110796,TK TUNAS DELIMA,Jl. H. Tiung No. 26,5,Kusdjanijah,021 4303063,,
20110797,TK TUNAS GADING,Jl. Kelapa Kopyor Raya Blok O1 No. 22,6,Dra. Bernadeta Ari Budi. Kusum,021 45848328,-6.1,106.540001
20110798,TK TUNAS GIRI,Jl. Swasembada Barat II/51,3,Yelmi,021 4369135,,
20110799,TK TUNAS HARAPAN BANGSA,Jl. Pademangan IV Gg. 34 No. 42,4,Ninuk Supraptinah,021 95576028,,
20110801,TK TUNAS KARYA,Jl. Sunter Kirana III,2,"Hema Puspawati,S.Pd.",021 65830289,-6.154676,106.876099
20110802,TK TUNAS KARYA I,Jl. Gading Putih IV,3,"Cicilia Unarwi, S.Pd.",021 4526563,,
20110803,TK TUNAS KARYA II,Jl. Gading Indah III,3,Deetje Jahja,021 4503194,,
20110805,TK TUT WURI HANDAYANI,Jl. Bandengan Utara 80 No.33,2,"Endng Wahyuni Puji Lestari, S.",021 6681939,,
20110807,TK TUTOR TIME II,Jl. Ruko Gading Bukit IndahBlok 015   016,4,"Imelda, M. Pd","021 45842794, 021 45842795",,
20110808,TK UMMATAN WASATHAN,Jl. Kali Baru Barat VII,3,"HATIKAH, S.PdI",021 4417119,,
20110809,TK UNIVERSAL,Jl. Boulevard Barat Raya Komp. Inko,6,"Dian Novianti, SE",021 4528121,,
20110810,TK USWATUN HASANAH,Jl. Mawar Luar No. 1,2,DWI ERIENDA GERHANA PUTRI,021 99095630,,
20110811,TK UTAMA CILINCING,Jl. Baru Gg. Dua,3,Laksmi Purnamasari,021 4411651,,
20110812,TK UTAMA SUKAPURA,Jl. Manunggal Juang II,2,,0815 9724758,,
20110813,TK WENING,Jl. Mesjid Walang No. 47,4,"HATTUN TUHULELE, S. PD",021 4373531,,
20110814,TK WIJAYA KUSUMA,Jl. Bandengan Utara 80,5,"Nurhayati, S.Pd",021 6693514,,
20110815,TK SANTO YAKOBUS,"Jl. Raya Pegangsaan Dua KM. 3,5",13,Veronika Try Heny. M,021 46826447,,
20110816,TK ZAITUN BERITA HIDUP,Jl. Kebantenan IV No. 5,3,Nanik Satini S.Pd,021 4404161,,
20110823,TK BUDI,Jl. Jembatan Besi II No. 44,4,"SRI SUGIYARTI, S.Pd",021 6593674,-6.150931,106.798584
20110824,TK ELOY,Jl. Tanah Sereal XVIII No. 17A,5,"JESAYA BUNARDI, M. TH",021 6303367,-6.15258,106.809669
20110825,TK ABDI SISWA II,Perum Taman Aries E 9/1,6,Fransisca Budi Lestari,021 5854632,,
20110826,TK ABDI SISWA III,Jl. Kusuma no. 1 Blok 131 Kavling DKI,7,"Crispina Puji Lestari,",021 5853142,,
20110827,TK ABU JIDDAH,Jl. Warung Gantung No. 37,4,"Mulhamah, S.Pd.AUD",021 93066949,,
20110828,TK AISYAH 40,Jl. Kesederhanaan,2,Tety Rahmawati,021 35843474,,
20110829,TK AISYIYAH 10,Jl. Gelong Baru,6,"Fitri, S.Pd",021 5642664,,
20110830,TK AISYIYAH 33,Jl. Semangka II No. 3,4,Shinta Muzaina,,,
20110831,TK AISYIYAH 34,Jl. Jelambar Utara III/34,3,,021 56961028,,
20110832,TK AISYIYAH 45,Jl. Utama Selatan V/17,3,Sri Sundari,021 9302929,,
20110833,TK AISYIYAH 51,Jl. G.I. Rt. 001 / 02 No. 34,4,Dra. Nurhayati,021 53678564,,
20110834,TK AISYIYAH 6,Jl. Anggrek Nelly Murni Blok B/C,5,"Uni Suciati, S. Pd",021 5357239,,
20110835,TK AISYIYAH 64,Jl. Bidara No 37,3,"Santi Muharni, S.Pd",021 34314460,,
20110836,TK AISYIYAH 84,Jl. Taman Masjid I No.1,4,Yuli Susanti,021 98376671,,
20110837,TK AISYIYAH 93 (AL ISRA),Jl. Tg. Duren Barat II/1,4,Nurmaharani D,021 5601938,,
20110838,TK AL ALIYAH,Jl.H.Ali No.46D,6,"Humairoh, S.Ag.",021 5332542,,
20110839,TK AL AMANAH,Jl. Al Amanah,3,ADE SITI SOFIAH,021 5658880,,
20110840,TK AL AZHAR,Jl. Meruya Ilir,8,"Maria Site, S.Pd.",021 5853736,,
20110841,TK AL BAIDILLAH,Jl. Kayu Besar No. 1,5,"Juhairiyah,S.Pd.M.Si",021 91092494,,
20110842,TK AL BAROKAH,Jl. Kebon Jeruk I/38,4,Penny Sulistiati,021 6261704,,
20110843,TK AL CHASANAH,Jl. Tg. Duren Barat III/1,6,Mutiyah,021 56960405,,
20110844,TK AL HIDAYAH,Jl. Anggrek Rosalina IV/ 14,5,Leo Mirawati,021 5302822,,
20110845,TK AL HUDA,Jl. Kali Anyar II V N0. 27,3,SUYATMI,021 6243979,-6.157102,106.797447
20110846,TK AL HURIYAH MHPI,Jl. Kembangan Mulia,5,NURLAILAH,021 5813147,,
20110847,TK AL HUSNA,Jl. Cempaka Raya No. 61,4,"Hj. Hanipah, S.Ag",021 5820233,,
20110848,TK AL IHSAN,Jl. Masjid Al Ihsan,6,"Marianah, STP.S.Pdi",0811 1918805,,
20110849,TK AL IKHLAS,Jl. Sumbawa Raya,6,,"021 5551384, 021 5550333",,
20110851,TK AL ISLAMIYAH,Jl. Raya Kebayoran Lama No.242,4,Siti Nur Amalia,0812 12967675,,
20110852,TK AL KAMAL,Jl. Kedoya Selatan no. 2,7,"Hariati, S.Pd.",021 98566192,-6.188,106.761803
20110853,TK AL KHOIRIYAH,Jl. Pulo Harapan Indah No. 68,2,Laamiyah.S.Pd,021 99065818,,
20110855,TK AL MUCHKLISIN,Jl. Belimbing Raya,7,"Hj. Lastari, S.Pd AUD",021 5803013,-6.1623,106.737640
20110856,TK AL MUNAWAROH,Jl. Tanjung Duren Timur No. 16,2,Sumarni,0813 85253137,,
20110857,TK AL MUSYAWARAH,Jl. Madu No. 14,5,Nurcholilah,021 6264681,-6.14434,106.818138
20110858,TK AL MUTAQIN,Jl. Semanan Raya No. 32,6,"Murniati, S.Pd",021 5445560,,
20110859,TK AL MUTTAQIEN,Jl. Komp. Dep. Agama,9,"Tazkiah, S.Pd",021 54397719,,
20110861,TK AR RIDHO,Jl. Kota Bambu Utara 04/05,5,"Nurochmi, S. Ag",021 5642210,,
20110862,TK AL USMANIYAH,Jl. K.H. Abdul Wahab,3,"Asmarani, S.Pd.I.",021 99969284,,
20110864,TK AL MARDIYAH,Jl. Kemuning Raya No. 45,7,Nurmailawaty.S.pd,021 5453905,,
20110865,TK AL QOMAR,Jl. Swadaya Utama No. 01,5,Jamilah,021 95385409,,
20110866,TK ALMASIH,Jl. Taman Duta Mas Blok E/1 No.1,7,Iswanty Gunawan,021 5678433,,
20110867,TK ALTERNATIF MULYA,Jl. Tambora Raya No. 23,8,Djubaedah,021 6282036,-6.145908,106.810318
20110869,TK AMANAH,Jl. Utama Selatan VI/5,9,"Hj. Nuraini, SE",021 5408781,-6.175,
20110870,TK AMARILIS,Jl. Daud I No. 15,6,"Dahlia, S.Pd",021 5356755,,
20110871,TK AMITAYUS,JL. SENI BUDAYA RAYA NO.1,4,,021 5676717,,
20110872,TK AN NURMANIAH,Jl. H. Sholeh I No. 45,7,"Siti Maryam, S.Ag",021 5494264,,
20110873,TK ANANDA ISLAMIC SCHOOL,Jl. Tanjung Pura No. 34,13,Apriyanti,021 54391187,-6.133002,106.690262
20110875,TK ANGELA,Jl. Inter Kota B7 No. 5,3,Henny Suryawati,021 5412041,,
20110876,TK ANGGELA BUNDA,Jl. Taman Ratu Indah D10/45,5,Lily Mardinus,021 5651463,,
20110877,TK ANGGREK,Jl. Anggrek Rosalina II Blok. H,4,"Suryati Sinulingga, S. Pd",021 53674259,,
20110878,TK ANNISA,Jl. Peta Barat No.41,5,Upi Erawati,021 5415236,,
20110879,TK ANNURIYAH,Jl. H.Sa'aba Komp.Unilever Blok A1 No. 20,7,Subaikah,021 5868809,,
20110880,TK ANUGERAH,Jl. Kapuk Raya,3,Tanputri DM,021 6192070,,
20110881,TK ANUGRAH MONTESSORI,Jl. Idris Sukabumi Utara,3,"Ulkiah, S.Pd.",,,
20110882,TKI AQILAH,Jl. Penerangan No. 1A,,,,,
20110883,TK AR RAHMAN,Jl. Anggrek Cendrawasih Blok Y,2,"Nunung Nuraini, A. Ma",021 53670806,,
20110884,TK AR RAHMAT,Jl. Pepaya II/10,4,Lisnawatii,021 5457216,,
20110886,TK ARRIFDAH,Jl. A. Duri Tol Duri Kepa,4,Muliah,021 98281560,,
20110887,TK AS SAAIDIYYAH,Jl. Peta Barat No. 3 Rt. 05/07,6,Saidah Humairoh,021 54391037,,
20110889,TK AS SALAM,Jl. Masjid As Salam Komp. DKI Joglo,10,"Sumiyati,SE",021 5862553,,
20110891,TK AS SHOLIHAT,Jl. Gaga No. 83,5,Hj. Sholeha,021 91792031,,
20110892,TK AS SIDIQIN,Jl. Kayu Besar,3,Dra. Hj. Mariyam,,,
20110893,TK ASIH MULIA,Jl. Prepedan No. 55,2,"ROBI'ATUL ADAWIYAH, M.Pd",021 5552342,,
20110894,TK ASIYIYAH 2,Jl. Dr. Susilo I,5,Nani Sumarni,021 5633975,,
20110896,TK AT TAHRIYAH,Jl. Peta Utara No. 67,6,Hj.Uswatun Hasanah,021 5406422,,
20110897,TK BPKB,Jl. Kebon Jeruk Raya No. 1A,2,"Mimin Yusuf, S.Pd.",,,
20110898,TK BAI'ATURIDWAN,Jl. Prepedan Raya No. 53,3,"Rita Azmiati, S.Pi","021 93519799, 0812 35421482",,
20110899,TK BAITURRAHMAN,Jl. Perintis Gombol Raya,6,Dila Faradila,021 96929501,,
20110901,TK BAITURRAHMAN CITRA,Jl. Citra I Blok C 16/17,8,"Ria Hanesti, SE",021 5447089,,
20110902,TK BALA KESELAMATAN,Jl. Mangga Besar Raya No. 39,6,"WIDIASTUTI,S.Pd",021 6295233,,
20110903,TK BANK DAGANG NEGARA,Jl. Komp. BDN Pesing Wesel,5,Endang Harini,021 5689314,,
20110905,TK BAPTIS ELIM,Jl. Dr. Susilo I/388,5,"Ev. Nunuk Tri Lestari, S.Th",021 5683022,,
20110906,TK BARUNAWATI II,Jl.Aipda KS. Tubun III Komp.Pelni,2,ASTRI ASTUTY,021 53668354,,
20110907,TK BETANIA,Jl. Jelambar Utama IV/3,4,SUZANA. H,021 5664313,,
20110908,TK BHAKTI,Jl. Sakti IV,16,"Nining Taskini, S. Pd,MM",021 5492504,,
20110909,TK BHAKTI INDRIA,Jl. Remujung No. 1,2,Hartawati,,,
20110910,TK BHINEKA TUNGGAL IKA,Jl. Kh. Moh. Mansyur No. 222 A,10,"CHRIS NURHENNY, S.Pd.,M.M",021 6310070,-6.15081,106.807724
20110911,TK BINA INSAN,"Jl. Meruya Ilir, Komp. Qaryah Thayyibah Blok C",7,"RATNA MAYASARI, S.PD.I",021 5856864,,
20110912,TK BINA INSAN KAMIL,Jl. Peta Barat Blok B No. 1,3,"Bilkis Yulia, S.Ag",021 5418978,,
20110913,TK BINA INSANI,Jl. Peta Selatan,3,"Ifat Latifah, S.Pd",021 92614311,,
20110915,TK BINA KUSUMA,Jl. Komp. Citra I Blok I/3,3,Lanawati Sugiharto,021 5416359,,
20110916,TK BINA PUTRA,Jl. Taman Toram X No. 29,4,YULIANINGSIH S.Pd,021 5553389,,
20110918,TK BINTANG KEJORA,Jl. Cengkareng Indah,6,Emiliana Kontesa Kewae Daen,021 54376199,,
20110919,TK BLESS KIDS SCHOOL,Jl. Palapa Raya No. 16,5,"Evi Entin, S.Pd",021 55953678,,
20110920,TK BRIGHT STRARS,Jl. Palma Raya DXI/1,5,Widayanti tania,021 5800707,,
20110922,TK BUDHI LUHUR,Jl. Prepedan Raya,2,Didik Tri Astuti,021 5552473,,
20110923,TK BUDI BAHASA,Jl. Kali Anyar IV No. 1,4,IKAH WARNIKAH,021 6349825,-6.153235,106.800392
20110925,TK BUKIT SINAI,Jl. Samarasa I Dalam No. 50,3,"Rusmina Tampubolon, S.Pd",021 6328481,-6.147396,106.797768
20110926,TK BUKIT SION,Jl. Komp. Taman Kebun Jeruk Interkon Blok G7,18,"Juventia Tedjo Kusumo, M.Pd",021 58904177,,
20110927,TK BUNDA HATI KUDUS,Jl. Rahayu No. 22,12,"Sr. M. Alberta, PBHK",021 56958644,,
20110928,TK BUNGA BHAKTI,Jl. Maruya Ilir,7,Suwanih,021 58905327,-6.191916,106.738991
20110929,TK CAHAYA BUNDA,Jl. Mangga Besar VIII No. 5,5,"Astina Marpaung, S.Pd",021 6283289,,
20110930,TK CANDRA JAYA,Jl. Sawah Lio IV No. 8 B,5,"Hj. SRI ASIH, S.Pd.I",021 6341402,-6.146406,106.801743
20110931,TK CANDRA NAYA,Jl. Jembatan Besi II No. 26,6,MIRA DEWI WIDJAJA,021 63860752,-6.149681,106.797691
20110933,TK CARINA SAYANG,Jl. Carina Sayang Blok Z/6 9,5,"CHRISTINE ONG POEJIATI S. Pd,",021 5816515,,
20110934,TK CENDRAWASIH,Jl. Anggrek Cendrawasih Raya,3,"Sri Sumarsih, S. Pd",021 5359294,,
20110935,TK CITRA KASIH,Citra 2 Ext Blok BI No. 11 12,10,Meliana Siburian,021 54373759,,
20110936,TK DAARUL FIKRI,Jl. Gaga Kampung Malang,7,"ZAKIYAH HM, S.Pd",021 71053434,,
20110937,TK DAARUL MU'MIN,Jl. 20 Desember Rt 006 / 003 No. 30,6,NURLAELAH,0895 20970788,,
20110939,TK DARUN NAIM,Jl. Semanan Raya No. 15,8,Hj. Napisah. T,021 5417970,,
20110940,TK DARUN NISA,Jl. Tanjung Pura V No. 22,2,"Sudartinah, BA",021 54363127,,
20110941,TK DAARUT TAQWA,Jl. Raya Kapuk No. 4 Gg. Masjid,7,JULAIHA.S.IP,021 93690399,,
20110943,TK DEWI SARTIKA,Jl. Tanjung Duren Barat I No. 1,2,"Marlina,S.Pd.",021 5667611,,
20110944,TK DHAMMASAVANA,Jl. Padamulya VI No. 176 B,5,"Indriawati Tjahjadi, S.E.M.Pd",021 6300966,-6.083742,106.473511
20110945,TK DIAN HARAPAN,Jl. Bedugul Raya No. 1,10,"Conniewaty Hardjawinata, M.Pd.","021 54375663, 021 54375664, 021 54375665, 021 54375666",,
20110946,TK DIAN KASIH,Citra Garden 5 Blok H1,4,"Tutik Susilowati, S.Pd",021 55951782,-6.12291,106.702965
20110947,TK DINNA,Jl. Raya Kebon Jeruk Rt.07/01,6,"Iyah Suroyah,S.Pd.",021 5490745,,
20110948,TK DJUWITA,Puri Gardena Jl. Gardena Utama Raya,3,Christina Any Setyawati,021 5415501,,
20110949,TK DURI INDAH,Jl. Kamp. Duri No. 99,3,YosieChan,021 5415351,,
20110950,TK DUTA URSULA,Jl. Duta Mas F/4,5,Iis Darmawan,021 5647890,,
20110950,TK K.DUTA URSULA,Jl. Tubagus Angke Tamana Duta Mas,,,,,
20110951,TK EKA RIA,Jl. HH Masjid Assurur No. 7A,6,Yetty Susasti,021 5302378,-6.200235,106.763962
20110952,TK EL SHADDAI,Jl. Citra Garden 5 Blok A6,6,Siswinarni,021 55952875,,
20110953,TK EMMANUEL,Jl. Kemenangan VIII No. 1A,5,Natalia Christina,021 6494953,,
20110955,TK FAJAR,Jl. SMP 187 Gaga Rt. 007/03,3,"Fatimah, S.Pd",021 99283571,,
20110956,TK FAJAR PERTIWI,Jl. Jati I No. 40A,4,DEDE HOERIAH .SPd,021 5454357,,
20110957,TK FAJAR SION,Jl. P. Jayakarta No. 1,3,"LIANA,S.Pd",021 6598618,,
20110958,TK FATIMAH,Jl. Gelong Baru Timur VI No.22,4,Runi Elawati,021 5665396,,
20110959,TK FATTAHILLAH,Jl. Keutamaan No. 89,2,HASANAH,021 6344508,,
20110961,TK GALATIA I,Jl. Seni Budaya VI/4,3,Vera Eunike,021 5675235,,
20110962,TK GALATIA II,Jl. Merpati Raya No.1,2,Jenny Setiawan,021 5605122,,
20110963,TK GALATIA III,Jl. Bambu Larangan No. 57,3,Karmini,021 5404554,,
